"Season_KEEPER","Squad_KEEPER","Comp_KEEPER","Player_KEEPER","Nation_KEEPER","Pos_KEEPER","Age_KEEPER","MP_Playing_Time_KEEPER","Starts_Playing_Time_KEEPER","Min_Playing_Time_KEEPER","Mins_Per_90_Playing_Time_KEEPER","GA_KEEPER","GA90_KEEPER","SoTA_KEEPER","Saves_KEEPER","Save_percent_KEEPER","W_KEEPER","D_KEEPER","L_KEEPER","CS_KEEPER","CS_percent_KEEPER","PKatt_Kicks_KEEPER","PKA_Kicks_KEEPER","PKsv_Kicks_KEEPER","PKm_Kicks_KEEPER","Save_percent_Kicks_KEEPER","UrlFBref","Mins_Per_90_KEEPER_ADV","GA_Goals_KEEPER_ADV","PKA_Goals_KEEPER_ADV","FK_Goals_KEEPER_ADV","CK_Goals_KEEPER_ADV","OG_Goals_KEEPER_ADV","PSxG_Expected_KEEPER_ADV","PSxG_per_SoT_Expected_KEEPER_ADV","PSxGPlus_Minus_Expected_KEEPER_ADV","_per_90_Expected_KEEPER_ADV","Cmp_Launched_KEEPER_ADV","Att_Launched_KEEPER_ADV","Cmp_percent_Launched_KEEPER_ADV","Att (GK)_Passes_KEEPER_ADV","Thr_Passes_KEEPER_ADV","Launch_percent_Passes_KEEPER_ADV","AvgLen_Passes_KEEPER_ADV","Att_Goal_Kicks_KEEPER_ADV","Launch_percent_Goal_Kicks_KEEPER_ADV","AvgLen_Goal_Kicks_KEEPER_ADV","Opp_Crosses_KEEPER_ADV","Stp_Crosses_KEEPER_ADV","Stp_percent_Crosses_KEEPER_ADV","Player_NumOPA_Sweeper_KEEPER_ADV","Player_NumOPA_per_90_Sweeper_KEEPER_ADV","AvgDist_Sweeper_KEEPER_ADV","WeeklyWageEUR_WAGES","UrlTmarkt","comp_name_TM","player_position_TM","player_nationality_TM","player_height_mtrs_TM","player_foot_TM","contract_expiry_TM","player_market_value_euro_TM"
"2023-2024","Liverpool","Premier League","Alisson","BRA","GK","31-144",21,21,1890,21,19,0.9,73,55,75.3,13,6,2,7,33.3,1,1,0,0,0,"https://fbref.com/en/players/7a2e46a8/Alisson",21,19,1,0,2,1,18.9,0.25,0.9,0.04,54,159,34,791,100,15.3,25.2,103,36.9,34.6,234,12,5.1,26,1.24,17.1,175729,"https://www.transfermarkt.com/alisson/profil/spieler/105470","Premier League","Goalkeeper","Brazil","1.93","right","2027-06-30",3.2e+07
"2023-2024","Manchester City","Premier League","Ederson","BRA","GK","30-191",24,24,2077,23.1,23,1,65,43,67.7,16,5,3,7,29.2,2,2,0,0,0,"https://fbref.com/en/players/3bb7b8b4/Ederson",23.1,23,2,0,2,1,21.9,0.31,-0.1,0,89,188,47.3,846,100,18.6,27.6,84,36.9,36.8,189,18,9.5,30,1.3,17.4,117152,"https://www.transfermarkt.com/ederson/profil/spieler/238223","Premier League","Goalkeeper","Brazil","1.88","left","2026-06-30",4e+07
"2023-2024","Arsenal","Premier League","David Raya","ESP","GK","28-161",20,20,1800,20,18,0.9,49,31,65.3,13,3,4,8,40,2,1,1,0,50,"https://fbref.com/en/players/98ea5115/David-Raya",20,18,1,0,4,1,14.8,0.27,-2.2,-0.11,72,212,34,599,110,30.1,30,61,52.5,43.6,188,28,14.9,33,1.65,18,99580,"https://www.transfermarkt.com/david-raya/profil/spieler/262749","Premier League","Goalkeeper","Spain","1.83","right","2024-06-30",3.5e+07
"2023-2024","Aston Villa","Premier League","Emiliano Martínez","ARG","GK","31-174",24,24,2160,24,32,1.33,100,71,68,14,4,6,6,25,0,0,0,0,NA,"https://fbref.com/en/players/7956236f/Emiliano-Martinez",24,32,0,0,8,3,34,0.35,5,0.21,82,215,38.1,855,116,20.5,27.5,109,36.7,34.6,264,27,10.2,54,2.25,18.9,140583,"https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873","Premier League","Goalkeeper","Argentina","1.95","right","2027-06-30",2.8e+07
"2023-2024","Tottenham Hotspur","Premier League","Guglielmo Vicario","ITA","GK","27-139",25,25,2250,25,38,1.52,112,76,71.4,14,5,6,5,20,6,6,0,0,0,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario",25,38,6,0,4,2,42.3,0.33,6.3,0.25,40,184,21.7,902,144,17.3,25.4,156,17.9,23.6,367,23,6.3,53,2.12,17,87864,"https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047","Premier League","Goalkeeper","Italy","1.94","right","2028-06-30",3e+07
"2023-2024","Manchester United","Premier League","André Onana","CMR","GK","27-327",25,25,2250,25,34,1.36,122,89,74.6,14,2,9,7,28,3,3,0,0,0,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana",25,34,3,1,6,1,36.2,0.28,3.2,0.13,95,319,29.8,868,90,29.5,30.5,114,55.3,43.1,386,18,4.7,28,1.12,15.1,140583,"https://www.transfermarkt.com/andre-onana/profil/spieler/234509","Premier League","Goalkeeper","Cameroon","1.9","right","2028-06-30",4e+07
"2023-2024","Brighton & Hove Albion","Premier League","Jason Steele","ENG","GK","33-189",14,14,1260,14,25,1.79,59,36,62.7,5,4,5,2,14.3,3,3,0,0,0,"https://fbref.com/en/players/28300a16/Jason-Steele",14,25,3,0,5,2,20.6,0.31,-2.4,-0.17,42,123,34.1,519,53,22.2,27.5,46,17.4,19.7,149,6,4,31,2.21,20.4,23430,"https://www.transfermarkt.com/jason-steele/profil/spieler/73564","Premier League","Goalkeeper","England","1.88","right","2026-06-30",3500000
"2023-2024","Newcastle United","Premier League","Nick Pope","ENG","GK","31-310",14,14,1255,13.9,14,1,53,39,73.6,8,2,4,5,35.7,0,0,0,0,NA,"https://fbref.com/en/players/4b40d9ca/Nick-Pope",13.9,14,0,1,2,0,15.1,0.3,1.1,0.08,35,100,35,282,85,18.8,27.8,85,55.3,42.3,128,6,4.7,28,2.01,19.8,70291,"https://www.transfermarkt.com/nick-pope/profil/spieler/192080","Premier League","Goalkeeper","England","1.98","right","2026-06-30",2e+07
"2023-2024","Newcastle United","Premier League","Martin Dúbravka","SVK","GK","35-039",12,11,995,11.1,27,2.44,79,51,69.6,3,2,6,2,18.2,4,3,1,0,25,"https://fbref.com/en/players/3a949a25/Martin-Dubravka",11.1,27,3,0,1,0,29.8,0.33,2.8,0.25,30,89,33.7,251,75,18.7,26.9,88,47.7,36.9,166,11,6.6,10,0.9,11.5,46861,"https://www.transfermarkt.com/martin-dubravka/profil/spieler/74960","Premier League","Goalkeeper","Slovakia","1.91","right","2025-06-30",1e+06
"2023-2024","West Ham United","Premier League","Alphonse Areola","FRA","GK","30-361",22,22,1934,21.5,35,1.63,123,88,74.8,8,6,8,4,18.2,5,4,1,0,20,"https://fbref.com/en/players/2f965a72/Alphonse-Areola",21.5,35,4,0,2,1,35.5,0.25,1.5,0.07,115,309,37.2,453,100,44.2,36.5,171,63.7,45.6,330,18,5.5,3,0.14,9,140583,"https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629","Premier League","Goalkeeper","France","1.95","right","2027-06-30",1e+07
"2023-2024","Chelsea","Premier League","Robert Sánchez","ESP","GK","26-098",16,16,1433,15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3,"https://fbref.com/en/players/6a713852/Robert-Sanchez",15.9,25,2,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,202,19,9.4,27,1.7,15.8,70291,"https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151","Premier League","Goalkeeper","Spain","1.97","right","2030-06-30",3e+07
"2023-2024","Wolverhampton Wanderers","Premier League","José Sá","POR","GK","31-038",23,23,2002,22.2,37,1.66,104,68,69.2,9,5,9,3,13,5,5,0,0,0,"https://fbref.com/en/players/903b6e8b/Jose-Sa",22.2,37,5,1,3,1,40.2,0.34,4.2,0.19,57,282,20.2,533,125,35.5,34.6,162,57.4,43.6,351,38,10.8,17,0.76,12.1,46861,"https://www.transfermarkt.com/jose-sa/profil/spieler/249994","Premier League","Goalkeeper","Portugal","1.92","right","2027-06-30",1.6e+07
"2023-2024","Fulham","Premier League","Bernd Leno","GER","GK","31-357",25,25,2250,25,41,1.64,124,86,71.8,8,5,12,6,24,6,6,0,0,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno",25,41,6,0,2,3,38.1,0.26,0.1,0,101,296,34.1,907,104,23.9,28.6,120,65.8,49.2,300,10,3.3,29,1.16,15.1,152298,"https://www.transfermarkt.com/bernd-leno/profil/spieler/72476","Premier League","Goalkeeper","Germany","1.9","right","2027-06-30",1.3e+07
"2023-2024","Bournemouth","Premier League","Neto","BRA","GK","34-220",22,22,1980,22,39,1.77,114,75,69.3,6,7,9,5,22.7,5,4,1,0,20,"https://fbref.com/en/players/a9dc785c/Neto",22,39,4,1,2,1,38.7,0.3,0.7,0.03,114,336,33.9,574,105,42.7,35.9,162,56.2,44.1,286,19,6.6,22,1,13.5,58576,"https://www.transfermarkt.com/neto/profil/spieler/111819","Premier League","Goalkeeper","Brazil","1.9","right","2026-06-30",2500000
"2023-2024","Brentford","Premier League","Mark Flekken","NED","GK","30-255",24,24,2115,23.5,42,1.79,120,78,65.8,7,4,13,4,16.7,1,1,0,0,0,"https://fbref.com/en/players/a92ab7be/Mark-Flekken",23.5,42,1,0,4,0,36.9,0.3,-5.1,-0.22,141,397,35.5,849,86,35.2,33.8,183,53.6,42.2,370,22,5.9,21,0.89,13.1,35146,"https://www.transfermarkt.com/mark-flekken/profil/spieler/125714","Premier League","Goalkeeper","Netherlands","1.95","both","2027-06-30",1.2e+07
"2023-2024","Crystal Palace","Premier League","Sam Johnstone","ENG","GK","30-336",17,17,1526,17,23,1.36,59,37,64.4,4,5,8,5,29.4,2,2,0,0,0,"https://fbref.com/en/players/9e5708be/Sam-Johnstone",17,23,2,0,4,1,17,0.26,-5,-0.29,96,285,33.7,379,57,51.7,39.7,120,74.2,52.3,290,23,7.9,9,0.53,10.4,46861,"https://www.transfermarkt.com/sam-johnstone/profil/spieler/110864","Premier League","Goalkeeper","England","1.93","right","2027-06-30",1.2e+07
"2023-2024","Crystal Palace","Premier League","Dean Henderson","ENG","GK","26-349",8,8,720,8,20,2.5,45,25,57.8,2,2,4,0,0,1,1,0,0,0,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson",8,20,1,0,3,0,17.3,0.37,-2.7,-0.33,36,123,29.3,190,23,42.6,36.8,47,89.4,58.6,106,2,1.9,10,1.25,17.3,117152,"https://www.transfermarkt.com/dean-henderson/profil/spieler/258919","Premier League","Goalkeeper","England","1.88","right","2028-06-30",1.2e+07
"2023-2024","Nottingham Forest","Premier League","Matt Turner","USA","GK","29-244",17,17,1530,17,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0,"https://fbref.com/en/players/4a51ba65/Matt-Turner",17,28,2,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45,436,99,42.7,35.7,136,69.1,47,296,30,10.1,18,1.06,13.3,46861,"https://www.transfermarkt.com/matt-turner/profil/spieler/425306","Premier League","Goalkeeper","United States","1.91","right","2027-06-30",1e+07
"2023-2024","Everton","Premier League","Jordan Pickford","ENG","GK","29-353",25,25,2250,25,33,1.32,100,69,72,8,6,11,8,32,5,5,0,0,0,"https://fbref.com/en/players/4806ec67/Jordan-Pickford",25,33,5,0,7,2,30.5,0.26,-0.5,-0.02,243,566,42.9,802,84,57.6,41.6,181,57.5,46.4,350,16,4.6,38,1.52,17.3,146440,"https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164","Premier League","Goalkeeper","England","1.85","left","2027-06-30",2.2e+07
"2023-2024","Luton Town","Premier League","Thomas Kaminski","BEL","GK","31-124",25,25,2250,25,51,2.04,146,96,66.4,5,5,15,2,8,2,2,0,0,0,"https://fbref.com/en/players/1caa93a5/Thomas-Kaminski",25,51,2,0,6,1,52.1,0.36,2.1,0.08,172,543,31.7,726,101,53.2,40.1,227,69.2,48.8,382,14,3.7,48,1.92,18.6,29288,"https://www.transfermarkt.com/thomas-kaminski/profil/spieler/77757","Premier League","Goalkeeper","Belgium","1.9"," ",NA,2800000
"2023-2024","Burnley","Premier League","James Trafford","ENG","GK","21-136",25,25,2250,25,55,2.2,153,100,66.7,3,4,18,2,8,4,4,0,0,0,"https://fbref.com/en/players/259fea27/James-Trafford",25,55,4,0,9,2,50.6,0.31,-2.4,-0.1,126,504,25,1149,154,32.7,30.8,168,76.2,53,365,28,7.7,38,1.52,15,29288,"https://www.transfermarkt.com/james-trafford/profil/spieler/566799","Premier League","Goalkeeper","England","1.92","right","2027-06-30",1.5e+07
"2023-2024","Sheffield United","Premier League","Wes Foderingham","ENG","GK","33-041",25,24,2199,24.4,63,2.58,165,106,63.6,3,4,17,1,4.2,4,3,0,1,0,"https://fbref.com/en/players/96cf7b61/Wes-Foderingham",24.4,63,3,0,8,4,57.5,0.34,-1.5,-0.06,171,518,33,650,83,55.1,40.5,214,74.8,53.2,404,17,4.2,34,1.39,15.4,14644,"https://www.transfermarkt.com/wes-foderingham/profil/spieler/61697","Premier League","Goalkeeper","England","1.85","left","2024-06-30",9e+05
"2023-2024","Real Madrid","La Liga","Andriy Lunin","UKR","GK","25-013",13,13,1170,13,7,0.54,36,29,83.3,10,3,0,6,46.2,1,1,0,0,0,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin",13,7,1,0,0,0,12.2,0.31,5.2,0.4,17,49,34.7,330,61,11.5,24,72,15.3,26.8,169,17,10.1,11,0.85,12,54038,"https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839","LaLiga","Goalkeeper","Ukraine","1.91","right","2025-06-30",8e+06
"2023-2024","Real Madrid","La Liga","Kepa Arrizabalaga","ESP","GK","29-144",12,12,1080,12,9,0.75,34,26,73.5,9,2,1,6,50,0,0,0,0,NA,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga",12,9,0,0,0,1,9.3,0.29,1.3,0.1,24,72,33.3,342,54,17,26.5,59,23.7,28.9,138,4,2.9,10,0.83,15.5,173077,"https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279","LaLiga","Goalkeeper","Spain","1.88","right","2024-06-30",2e+07
"2023-2024","Girona","La Liga","Paulo Gazzaniga","ARG","GK","32-052",25,25,2250,25,32,1.28,118,86,74.6,17,5,3,8,32,3,2,0,1,0,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga",25,32,2,0,6,0,34.9,0.29,2.9,0.12,104,294,35.4,766,121,26.5,30.4,170,53.5,45.6,376,26,6.9,10,0.4,10.6,16538,"https://www.transfermarkt.com/paulo-gazzaniga/profil/spieler/195488","LaLiga","Goalkeeper","Argentina","1.95","right","2027-06-30",4e+06
"2023-2024","Barcelona","La Liga","Marc-André ter Stegen","GER","GK","31-299",15,15,1350,15,17,1.13,54,37,68.5,10,4,1,6,40,0,0,0,0,NA,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen",15,17,0,0,1,0,16.1,0.3,-0.9,-0.06,48,76,63.2,419,53,13.6,25.6,79,24.1,29.3,173,8,4.6,20,1.33,16.3,121154,"https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","LaLiga","Goalkeeper","Germany","1.87","right","2028-06-30",3.5e+07
"2023-2024","Barcelona","La Liga","Iñaki Peña","ESP","GK","24-358",10,10,900,10,17,1.7,39,22,56.4,6,2,2,2,20,0,0,0,0,NA,"https://fbref.com/en/players/cc1c5035/Inaki-Pena",10,17,0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6,62500,"https://www.transfermarkt.com/inaki-pena/profil/spieler/283170","LaLiga","Goalkeeper","Spain","1.84","right","2026-06-30",8e+06
"2023-2024","Atlético Madrid","La Liga","Jan Oblak","SVN","GK","31-047",25,25,2250,25,26,1.04,98,72,74.5,16,3,6,9,36,2,1,0,1,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak",25,26,1,0,3,0,26.3,0.26,0.3,0.01,71,215,33,484,120,25.4,30.7,198,46.5,38.3,386,20,5.2,14,0.56,12.3,400577,"https://www.transfermarkt.com/jan-oblak/profil/spieler/121483","LaLiga","Goalkeeper","Slovenia","1.88","right","2028-06-30",3.5e+07
"2023-2024","Athletic Club","La Liga","Unai Simón","ESP","GK","26-257",25,25,2250,25,23,0.92,90,67,74.4,14,7,4,12,48,1,0,1,0,100,"https://fbref.com/en/players/5dcf3e90/Unai-Simon",25,23,0,0,2,1,27.3,0.3,5.3,0.21,151,478,31.6,693,103,48.9,39,168,82.7,60.2,317,22,6.9,38,1.52,17.4,82308,"https://www.transfermarkt.com/unai-simon/profil/spieler/262396","LaLiga","Goalkeeper","Spain","1.9","right","2025-06-30",2.5e+07
"2023-2024","Real Sociedad","La Liga","Álex Remiro","ESP","GK","28-336",24,24,2105,23.4,20,0.86,83,64,78.3,10,10,4,10,41.7,2,2,0,0,0,"https://fbref.com/en/players/374ee424/Alex-Remiro",23.4,20,2,0,2,1,21.1,0.24,2.1,0.09,127,293,43.3,726,81,30.3,31.7,109,67,51.9,278,14,5,39,1.67,17.2,53846,"https://www.transfermarkt.com/alex-remiro/profil/spieler/212862","LaLiga","Goalkeeper","Spain","1.91","right","2027-06-30",2.5e+07
"2023-2024","Real Betis","La Liga","Rui Silva","POR","GK","30-017",16,16,1395,15.5,16,1.03,63,47,82.5,5,7,4,8,50,5,5,0,0,0,"https://fbref.com/en/players/ea83bfa6/Rui-Silva",15.5,16,5,0,0,0,20.2,0.24,4.2,0.27,77,231,33.3,448,70,37.7,33.9,112,55.4,42.7,218,24,11,16,1.03,12.6,17308,"https://www.transfermarkt.com/rui-silva/profil/spieler/234811","LaLiga","Goalkeeper","Portugal","1.91","left","2026-06-30",1.5e+07
"2023-2024","Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","23-147",25,25,2250,25,29,1.16,97,68,72.2,10,6,9,8,32,3,2,1,0,33.3,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili",25,29,2,0,3,1,32.6,0.32,4.6,0.18,116,426,27.2,553,96,57.7,41.8,154,69.5,53.4,361,35,9.7,22,0.88,12.1,28846,"https://www.transfermarkt.com/giorgi-mamardashvili/profil/spieler/502676","LaLiga","Goalkeeper","Georgia","1.97","left","2027-06-30",3e+07
"2023-2024","Getafe","La Liga","David Soria","ESP","GK","30-326",25,25,2250,25,34,1.36,118,83,74.6,8,10,7,8,32,6,4,1,1,20,"https://fbref.com/en/players/8f8c6934/David-Soria",25,34,4,0,3,0,37.9,0.29,3.9,0.16,251,647,38.8,668,79,70.2,47.1,201,88.6,59.1,300,13,4.3,43,1.72,17.1,29038,"https://www.transfermarkt.com/david-soria/profil/spieler/226012","LaLiga","Goalkeeper","Spain","1.92","right",NA,8e+06
"2023-2024","Osasuna","La Liga","Sergio Herrera","ESP","GK","30-263",21,21,1879,20.9,29,1.39,80,50,63.8,9,5,7,7,33.3,1,0,1,0,100,"https://fbref.com/en/players/a4995f48/Sergio-Herrera",20.9,29,0,0,5,0,27.6,0.34,-1.4,-0.07,181,438,41.3,617,58,53.2,41,155,71,51.4,321,18,5.6,21,1.01,15.3,18269,"https://www.transfermarkt.com/sergio-herrera/profil/spieler/248738","LaLiga","Goalkeeper","Spain","1.92","right","2026-06-30",6e+06
"2023-2024","Alavés","La Liga","Antonio Sivera","ESP","GK","27-196",25,25,2250,25,31,1.24,94,65,74.5,7,7,11,6,24,7,7,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera",25,31,7,0,2,2,30.9,0.26,1.9,0.08,189,476,39.7,571,81,59.2,43.5,218,63.3,45.2,372,17,4.6,21,0.84,13.6,16923,"https://www.transfermarkt.com/antonio-sivera/profil/spieler/298197","LaLiga","Goalkeeper","Spain","1.85","right","2027-06-30",2e+06
"2023-2024","Villarreal","La Liga","Filip Jørgensen","DEN","GK","21-313",25,25,2250,25,47,1.88,143,97,69.9,6,8,11,3,12,4,4,0,0,0,"https://fbref.com/en/players/0107757e/Filip-Jorgensen",25,47,4,1,7,1,43.3,0.28,-2.7,-0.11,101,254,39.8,727,125,25,29.9,166,43.4,38.1,450,21,4.7,25,1,13.8,11538,"https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323","LaLiga","Goalkeeper","Denmark","1.9","right","2025-06-30",1.5e+07
"2023-2024","Rayo Vallecano","La Liga","Stole Dimitrievski","MKD","GK","30-060",25,25,2250,25,33,1.32,109,77,70.6,5,10,10,9,36,2,1,1,0,50,"https://fbref.com/en/players/fc70e345/Stole-Dimitrievski",25,33,1,1,4,2,33.2,0.29,2.2,0.09,118,414,28.5,609,111,49.8,40.6,197,56.3,46.4,364,12,3.3,25,1,15.1,12692,"https://www.transfermarkt.com/stole-dimitrievski/profil/spieler/165467","LaLiga","Goalkeeper","North Macedonia","1.88","right","2024-06-30",4e+06
"2023-2024","Sevilla","La Liga","Marko Dmitrović","SRB","GK","32-030",13,13,1170,13,25,1.92,68,44,66.2,2,2,9,2,15.4,2,2,0,0,0,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic",13,25,2,0,3,1,22.6,0.3,-1.4,-0.11,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4,24231,"https://www.transfermarkt.com/marko-dmitrovic/profil/spieler/94308","LaLiga","Goalkeeper","Serbia","1.89","left","2025-06-30",2e+06
"2023-2024","Sevilla","La Liga","Ørjan Nyland","NOR","GK","33-166",11,11,990,11,10,0.91,40,31,77.5,3,7,1,3,27.3,1,1,0,0,0,"https://fbref.com/en/players/bdedffac/Orjan-Nyland",11,10,1,0,1,1,10.5,0.24,1.5,0.14,68,197,34.5,263,54,49,39.2,87,78.2,56.9,168,10,6,11,1,14,11538,"https://www.transfermarkt.com/orjan-nyland/profil/spieler/73517","LaLiga","Goalkeeper","Norway","1.92","right","2025-06-30",1e+06
"2023-2024","Mallorca","La Liga","Predrag Rajković","SRB","GK","28-115",25,25,2250,25,33,1.32,98,65,70.4,4,11,10,6,24,4,4,0,0,0,"https://fbref.com/en/players/58ad9383/Predrag-Rajkovic",25,33,4,1,3,0,33.4,0.3,0.4,0.02,229,556,41.2,640,67,62.3,45.4,219,71.7,53.6,373,28,7.5,22,0.88,13.5,16154,"https://www.transfermarkt.com/predrag-rajkovic/profil/spieler/190263","LaLiga","Goalkeeper","Serbia","1.91","right","2026-06-30",1e+07
