"Season_KEEPER","Squad_KEEPER","Comp_KEEPER","Player_KEEPER","Nation_KEEPER","Pos_KEEPER","Age_KEEPER","MP_Playing_Time_KEEPER","Starts_Playing_Time_KEEPER","Min_Playing_Time_KEEPER","Mins_Per_90_Playing_Time_KEEPER","GA_KEEPER","GA90_KEEPER","SoTA_KEEPER","Saves_KEEPER","Save_percent_KEEPER","W_KEEPER","D_KEEPER","L_KEEPER","CS_KEEPER","CS_percent_KEEPER","PKatt_Kicks_KEEPER","PKA_Kicks_KEEPER","PKsv_Kicks_KEEPER","PKm_Kicks_KEEPER","Save_percent_Kicks_KEEPER","UrlFBref","Mins_Per_90_KEEPER_ADV","GA_Goals_KEEPER_ADV","PKA_Goals_KEEPER_ADV","FK_Goals_KEEPER_ADV","CK_Goals_KEEPER_ADV","OG_Goals_KEEPER_ADV","PSxG_Expected_KEEPER_ADV","PSxG_per_SoT_Expected_KEEPER_ADV","PSxGPlus_Minus_Expected_KEEPER_ADV","_per_90_Expected_KEEPER_ADV","Cmp_Launched_KEEPER_ADV","Att_Launched_KEEPER_ADV","Cmp_percent_Launched_KEEPER_ADV","Att (GK)_Passes_KEEPER_ADV","Thr_Passes_KEEPER_ADV","Launch_percent_Passes_KEEPER_ADV","AvgLen_Passes_KEEPER_ADV","Att_Goal_Kicks_KEEPER_ADV","Launch_percent_Goal_Kicks_KEEPER_ADV","AvgLen_Goal_Kicks_KEEPER_ADV","Opp_Crosses_KEEPER_ADV","Stp_Crosses_KEEPER_ADV","Stp_percent_Crosses_KEEPER_ADV","Player_NumOPA_Sweeper_KEEPER_ADV","Player_NumOPA_per_90_Sweeper_KEEPER_ADV","AvgDist_Sweeper_KEEPER_ADV","WeeklyWageEUR_WAGES","UrlTmarkt","comp_name_TM","player_position_TM","player_nationality_TM","player_height_mtrs_TM","player_foot_TM","contract_expiry_TM","player_market_value_euro_TM"
"2023-2024","Rio Ave","","Magrão","BRA","GK","23-285",7,7,630,7,12,1.71,31,19,64.5,1,2,4,1,14.3,1,1,0,0,0,"https://fbref.com/en/players/4bc2a77c/Magrao",7,12,1,0,3,0,11.8,0.35,-0.2,-0.03,21,64,32.8,168,43,23.8,29.8,54,44.4,38.8,78,3,3.8,7,1,16.1,NA,"https://www.transfermarkt.com/magrao/profil/spieler/818068","Liga Portugal","Goalkeeper","Brazil","1.97","right","2024-06-30",3e+05
"2023-2024","Chaves","","Hugo Souza","BRA","GK","25-024",18,18,1620,18,39,2.17,98,59,63.3,3,5,10,2,11.1,3,3,0,0,0,"https://fbref.com/en/players/c02e5af1/Hugo-Souza",18,39,3,0,4,0,35.9,0.35,-3.1,-0.17,120,309,38.8,373,93,46.9,38.8,170,78.8,56.5,292,14,4.8,14,0.78,12.6,NA,"https://www.transfermarkt.com/hugo-souza/profil/spieler/574901","Liga Portugal","Goalkeeper","Brazil","1.99","right","2024-06-30",1200000
"2023-2024","Vizela","","Fabijan Buntić","CRO","GK","27-000",21,20,1866,20.7,43,2.07,94,52,58.5,2,7,11,5,25,5,4,0,1,0,"https://fbref.com/en/players/f566b29e/Fabijan-Buntic",20.7,43,4,2,2,1,33.3,0.32,-8.7,-0.42,95,232,40.9,469,83,30.5,30.4,172,51.7,40.9,329,16,4.9,22,1.06,14.7,NA,"https://www.transfermarkt.com/fabijan-buntic/profil/spieler/248349","Liga Portugal","Goalkeeper","Croatia","1.94","left","2025-06-30",8e+05
NA,"Palmeiras","Série A","Wéverton","BRA","GK","35",35,35,3150,35,30,0.86,133,103,79.7,19,10,6,15,42.9,4,3,1,0,25,"https://fbref.com/en/players/81be82e9/Weverton",35,30,3,1,3,1,34.9,0.24,5.9,0.17,143,379,37.7,948,198,32.1,34,239,31.4,33.1,397,34,8.6,20,0.57,12.8,NA,"https://www.transfermarkt.com/weverton/profil/spieler/69400","Série A","Goalkeeper","Brazil","1.89","right","2026-12-31",2500000
NA,"Grêmio","","Gabriel Chapecó","BRA","GK","22",31,31,2790,31,51,1.65,159,109,70.4,14,5,12,5,16.1,4,4,0,0,0,"https://fbref.com/en/players/a24714b4/Gabriel-Chapeco",31,51,4,0,8,1,50.6,0.31,0.6,0.02,144,413,34.9,514,121,45.7,38.4,315,56.5,41.7,505,29,5.7,21,0.68,11.4,NA,"https://www.transfermarkt.com/gabriel-grando/profil/spieler/878037","Série A","Goalkeeper","Brazil","1.92","right","2026-12-31",2500000
NA,"Atlético Mineiro","Série A","Éverson","BRA","GK","32",36,36,3240,36,31,0.86,132,102,78,17,9,10,14,38.9,2,2,0,0,0,"https://fbref.com/en/players/a59c090b/Everson",36,31,2,1,1,1,41.3,0.3,11.3,0.31,190,472,40.3,885,132,43.8,37.1,177,47.5,40.5,526,30,5.7,36,1,14.2,NA,"https://www.transfermarkt.com/everson/profil/spieler/106032","Série A","Goalkeeper","Brazil","1.92","right","2025-12-31",2e+06
NA,"Flamengo","Série A","Matheus Cunha","BRA","GK","21",19,18,1580,17.6,22,1.25,98,75,80.6,9,6,3,5,27.8,4,3,1,0,25,"https://fbref.com/en/players/9475960a/Matheus-Cunha",17.6,22,3,0,2,0,28.5,0.27,6.5,0.37,65,181,35.9,624,82,25.2,28.4,102,23.5,27,275,9,3.3,23,1.31,16.7,NA,"https://www.transfermarkt.com/matheus-cunha/profil/spieler/876739","Série A","Goalkeeper","Brazil","1.93","right","2025-12-31",3e+06
NA,"Bragantino","Série A","Cleiton Schwengber","BRA","GK","25",33,33,2970,33,27,0.82,116,89,81.9,15,9,9,16,48.5,7,6,1,0,14.3,"https://fbref.com/en/players/d24ae824/Cleiton-Schwengber",33,27,6,0,4,1,38.4,0.28,12.4,0.38,151,449,33.6,784,145,48,39.4,244,29.9,31.2,382,15,3.9,63,1.91,18.2,NA,"https://www.transfermarkt.com/cleiton/profil/spieler/468247","Série A","Goalkeeper","Brazil","1.9","right","2024-12-31",4500000
NA,"Fluminense","Série A","Fábio","BRA","GK","42",35,35,3150,35,41,1.17,145,105,75.2,16,7,12,12,34.3,6,5,0,1,0,"https://fbref.com/en/players/15825726/Fabio",35,41,5,0,4,1,47.8,0.3,7.8,0.22,44,123,35.8,753,170,11.4,22.2,294,12.6,15.5,508,40,7.9,29,0.83,12.6,NA,"https://www.transfermarkt.com/fabio/profil/spieler/22415","Série A","Goalkeeper","Brazil","1.88","right","2025-12-31",2e+05
NA,"Athletico Paranaense","Série A","Bento","BRA","GK","23",33,33,2970,33,37,1.12,140,101,76.4,12,11,10,9,27.3,6,4,2,0,33.3,"https://fbref.com/en/players/5d699228/Bento",33,37,4,1,5,0,37.3,0.22,0.3,0.01,113,387,29.2,589,128,42.1,37.9,290,47.9,40.6,490,35,7.1,21,0.64,11.9,NA,"https://www.transfermarkt.com/bento/profil/spieler/691906","Série A","Goalkeeper","Brazil","1.9","right","2026-12-31",1.2e+07
NA,"São Paulo","Série A","Rafael Pires","BRA","GK","33",33,33,2970,33,34,1.03,117,84,76.1,13,8,12,13,39.4,7,6,0,1,0,"https://fbref.com/en/players/539f6761/Rafael-Pires",33,34,6,1,1,1,37.2,0.27,4.2,0.13,118,305,38.7,785,142,29.2,31.4,212,35.8,34.1,434,19,4.4,25,0.76,13.2,NA,"https://www.transfermarkt.com/rafael/profil/spieler/68097","Série A","Goalkeeper","Brazil","1.92","left","2025-12-31",6e+05
NA,"Cuiabá","","Walter","BRA","GK","35",35,35,3150,35,35,1,139,106,77.7,13,9,13,12,34.3,4,4,0,0,0,"https://fbref.com/en/players/8bae322b/Walter",35,35,4,0,3,2,40.2,0.26,7.2,0.21,177,394,44.9,667,138,37,34.8,264,55.7,41.9,556,36,6.5,15,0.43,9.8,NA,"https://www.transfermarkt.com/walter/profil/spieler/269860","Série A","Goalkeeper","Brazil","1.88","right","2024-12-31",250000
NA,"Corinthians","Série A","Cássio","BRA","GK","35",37,37,3310,36.8,48,1.31,181,134,76.8,11,14,12,8,21.6,7,6,0,1,0,"https://fbref.com/en/players/d42f6326/Cassio",36.8,48,6,0,8,1,55.2,0.27,8.2,0.22,167,354,47.2,735,146,33.9,33.8,369,28.5,29.8,638,27,4.2,13,0.35,10.8,NA,"https://www.transfermarkt.com/cassio/profil/spieler/50144","Série A","Goalkeeper","Brazil","1.95","left","2024-12-31",6e+05
NA,"Bahia","","Marcos Felipe","BRA","GK","26",37,37,3330,37,51,1.38,183,132,75.4,12,8,17,9,24.3,6,6,0,0,0,"https://fbref.com/en/players/453bdfb9/Marcos-Felipe",37,51,6,1,4,1,57.6,0.29,7.6,0.21,199,506,39.3,884,139,41.7,36.1,251,54.6,43.1,454,27,5.9,39,1.05,14.8,NA,"https://www.transfermarkt.com/marcos-felipe/profil/spieler/283166","Série A","Goalkeeper","Brazil","1.88","right","2027-12-31",1200000
NA,"Boca Juniors","Primera División","Sergio Romero","ARG","GK","35",23,23,2070,23,20,0.87,83,62,79.5,11,4,8,10,43.5,6,3,3,0,50,"https://fbref.com/en/players/1e26e376/Sergio-Romero",23,20,3,0,3,2,28.9,0.28,10.9,0.48,78,220,35.5,459,108,32.2,33.8,163,44.2,39.3,269,16,5.9,12,0.52,11.8,NA,"https://www.transfermarkt.com/sergio-romero/profil/spieler/30690","Liga Profesional","Goalkeeper","Argentina","1.92","right","2024-12-31",4e+05
NA,"Boca Juniors","Primera División","Sergio Romero","ARG","GK","35",23,23,2070,23,20,0.87,83,62,79.5,11,4,8,10,43.5,6,3,3,0,50,"https://fbref.com/en/players/1e26e376/Sergio-Romero",23,20,3,0,3,2,28.9,0.28,10.9,0.48,78,220,35.5,459,108,32.2,33.8,163,44.2,39.3,269,16,5.9,12,0.52,11.8,NA,"https://www.transfermarkt.com/sergio-romero/profil/spieler/30690","Copa de la Liga","Goalkeeper","Argentina","1.92","right","2024-12-31",4e+05
NA,"Godoy Cruz","Primera División","Diego Matías Rodríguez","ARG","GK","33",26,26,2340,26,30,1.15,95,66,75.8,10,8,8,8,30.8,7,7,0,0,0,"https://fbref.com/en/players/19f4d2c0/Diego-Matias-Rodriguez",26,30,7,0,5,1,34.2,0.29,5.2,0.2,217,469,46.3,564,47,57.8,44.3,228,62.7,47.1,316,18,5.7,17,0.65,12.6,NA,"https://www.transfermarkt.com/diego-rodriguez/profil/spieler/90800","Liga Profesional","Goalkeeper","Argentina","1.84","left","2024-12-31",3e+05
NA,"Godoy Cruz","Primera División","Diego Matías Rodríguez","ARG","GK","33",26,26,2340,26,30,1.15,95,66,75.8,10,8,8,8,30.8,7,7,0,0,0,"https://fbref.com/en/players/19f4d2c0/Diego-Matias-Rodriguez",26,30,7,0,5,1,34.2,0.29,5.2,0.2,217,469,46.3,564,47,57.8,44.3,228,62.7,47.1,316,18,5.7,17,0.65,12.6,NA,"https://www.transfermarkt.com/diego-rodriguez/profil/spieler/90800","Copa de la Liga","Goalkeeper","Argentina","1.84","left","2024-12-31",3e+05
NA,"Independiente","Primera División","Rodrigo Rey","ARG","GK","31",27,27,2430,27,32,1.19,99,67,72.7,6,10,11,8,29.6,6,5,1,0,16.7,"https://fbref.com/en/players/6436748b/Rodrigo-Rey",27,32,5,1,9,1,31.4,0.27,0.4,0.01,103,387,26.6,461,81,54.9,41.5,217,61.8,46.6,349,28,8,27,1,14.7,NA,"https://www.transfermarkt.com/rodrigo-rey/profil/spieler/166591","Liga Profesional","Goalkeeper","Argentina","1.9","right","2024-12-31",1800000
NA,"Independiente","Primera División","Rodrigo Rey","ARG","GK","31",27,27,2430,27,32,1.19,99,67,72.7,6,10,11,8,29.6,6,5,1,0,16.7,"https://fbref.com/en/players/6436748b/Rodrigo-Rey",27,32,5,1,9,1,31.4,0.27,0.4,0.01,103,387,26.6,461,81,54.9,41.5,217,61.8,46.6,349,28,8,27,1,14.7,NA,"https://www.transfermarkt.com/rodrigo-rey/profil/spieler/166591","Copa de la Liga","Goalkeeper","Argentina","1.9","right","2024-12-31",1800000
NA,"FC Cincinnati","","Roman Celentano","USA","GK","22",33,33,2970,33,37,1.12,121,86,73.6,20,9,4,12,36.4,5,5,0,0,0,"https://fbref.com/en/players/42ba8628/Roman-Celentano",33,37,5,0,2,2,35.3,0.26,0.3,0.01,138,365,37.8,559,137,41.9,35.8,260,50.4,38.8,446,21,4.7,20,0.61,12.1,NA,"https://www.transfermarkt.com/roman-celentano/profil/spieler/972454","MLS","Goalkeeper","United States","1.85","right","2027-12-31",1e+06
NA,"Orlando City","","Pedro Gallese","PER","GK","32",30,30,2700,30,33,1.1,110,77,71.8,16,8,6,10,33.3,3,2,1,0,33.3,"https://fbref.com/en/players/b76e1394/Pedro-Gallese",30,33,2,0,3,1,33.4,0.28,1.4,0.05,105,304,34.5,627,97,36,32.6,232,33.6,29.4,365,24,6.6,37,1.23,15.7,NA,"https://www.transfermarkt.com/pedro-gallese/profil/spieler/95172","MLS","Goalkeeper","Peru","1.89","left","2024-12-31",1500000
NA,"Philadelphia Union","","Andre Blake","JAM","GK","32",27,27,2372,26.4,28,1.06,99,73,76.8,13,9,5,8,29.6,5,5,0,0,0,"https://fbref.com/en/players/b3b21a11/Andre-Blake",26.4,28,5,0,0,2,30.1,0.26,4.1,0.16,88,237,37.1,453,131,35.1,34.5,163,47.9,39.5,315,22,7,21,0.8,13.2,NA,"https://www.transfermarkt.com/andre-blake/profil/spieler/244149","MLS","Goalkeeper","Jamaica","1.88","right","2024-12-31",2e+06
NA,"Atlanta United","","Brad Guzan","USA","GK","38",27,27,2430,27,39,1.44,100,61,62,11,10,6,7,25.9,2,1,0,1,0,"https://fbref.com/en/players/d899e3bf/Brad-Guzan",27,39,1,0,1,0,34.2,0.33,-4.8,-0.18,149,330,45.2,747,108,31.6,32.5,216,43.5,36.2,376,22,5.9,28,1.04,14.3,NA,"https://www.transfermarkt.com/brad-guzan/profil/spieler/39471","MLS","Goalkeeper","United States","1.93","left","2024-12-31",1e+05
NA,"Nashville SC","","Joe Willis","USA","GK","34",32,32,2880,32,31,0.97,128,98,79.7,13,8,11,10,31.3,5,5,0,0,0,"https://fbref.com/en/players/467f09c8/Joe-Willis",32,31,5,0,4,1,33.8,0.23,3.8,0.12,186,485,38.4,703,142,47.5,37.2,257,58.8,42.9,423,44,10.4,19,0.59,13.5,NA,"https://www.transfermarkt.com/joe-willis/profil/spieler/175615","MLS","Goalkeeper","United States","1.93","left","2024-12-31",450000
NA,"New York Red Bulls","","Carlos Coronel","PAR","GK","26",34,34,3060,34,39,1.15,92,54,64.1,11,10,13,9,26.5,7,6,1,0,14.3,"https://fbref.com/en/players/5c07e176/Carlos-Coronel",34,39,6,0,6,2,37,0.34,0,0,198,662,29.9,808,104,59.8,43.1,201,89.1,61.2,329,10,3,72,2.12,20.7,NA,"https://www.transfermarkt.com/carlos-coronel/profil/spieler/378871","MLS","Goalkeeper","Paraguay","1.92","right",NA,8e+05
NA,"Charlotte FC","","Kristijan Kahlina","CRO","GK","30",24,24,2160,24,33,1.37,110,78,74.5,8,10,6,6,25,5,5,0,0,0,"https://fbref.com/en/players/53e360bb/Kristijan-Kahlina",24,33,5,2,3,1,36.5,0.3,4.5,0.19,129,378,34.1,820,89,38.4,35.3,159,39.6,36.3,288,15,5.2,40,1.67,16.2,NA,"https://www.transfermarkt.com/kristijan-kahlina/profil/spieler/133831","MLS","Goalkeeper","Croatia","1.88","right","2024-12-31",1500000
NA,"CF Montréal","","Jonathan Sirois","CAN","GK","21",33,32,2888,32.1,47,1.46,141,97,68.8,12,5,15,11,34.4,3,3,0,0,0,"https://fbref.com/en/players/5dc34eaa/Jonathan-Sirois",32.1,47,3,0,3,3,43.7,0.29,-0.3,-0.01,134,380,35.3,868,182,30.5,31.4,246,46.7,37.1,376,14,3.7,53,1.65,17.7,NA,"https://www.transfermarkt.com/jonathan-sirois/profil/spieler/749407","MLS","Goalkeeper","Canada","1.83"," ","2026-12-31",5e+05
NA,"New York City FC","","Luis Barraza","USA","GK","26",24,24,2160,24,31,1.29,92,62,68.5,5,10,9,4,16.7,2,2,0,0,0,"https://fbref.com/en/players/e6f22a6b/Luis-Barraza",24,31,2,0,5,1,26.9,0.27,-3.1,-0.13,79,253,31.2,915,96,20.3,28,177,37.9,37.3,312,10,3.2,13,0.54,12.4,NA,"https://www.transfermarkt.com/luis-barraza/profil/spieler/644782","MLS","Goalkeeper","United States","1.88"," ","2024-12-31",450000
NA,"D.C. United","","Tyler Miller","USA","GK","29",25,25,2205,24.5,38,1.55,100,63,65,7,6,12,6,24,3,3,0,0,0,"https://fbref.com/en/players/7827a6b3/Tyler-Miller",24.5,38,3,2,3,1,33.7,0.32,-3.3,-0.14,234,520,45,1030,99,39.9,34.7,175,62.3,47.6,317,25,7.9,106,4.33,23.7,NA,"https://www.transfermarkt.com/tyler-miller/profil/spieler/353479","MLS","Goalkeeper","United States","1.93","right","2024-12-31",6e+05
NA,"Chicago Fire","","Christopher Brady","USA","GK","18",30,30,2639,29.3,44,1.5,134,92,73.9,10,9,11,8,26.7,10,9,0,1,0,"https://fbref.com/en/players/a71768a2/Christopher-Brady",29.3,44,9,1,5,2,43.5,0.27,1.5,0.05,111,342,32.5,551,127,39.6,35,232,53.4,41.1,436,25,5.7,30,1.02,13.7,NA,"https://www.transfermarkt.com/chris-brady/profil/spieler/765504","MLS","Goalkeeper","United States","1.9"," ","2026-12-31",1500000
NA,"Inter Miami","","Drake Callender","USA","GK","25",33,33,2970,33,53,1.61,171,121,69.6,9,7,17,5,15.2,1,1,0,0,0,"https://fbref.com/en/players/c4d9567d/Drake-Callender",33,53,1,1,9,3,48,0.28,-2,-0.06,120,390,30.8,888,158,32.2,33.7,252,41.3,35.7,399,36,9,28,0.85,12.6,NA,"https://www.transfermarkt.com/drake-callender/profil/spieler/723561","MLS","Goalkeeper","United States","1.91"," ","2025-12-31",1500000
NA,"Toronto FC","","Sean Johnson","USA","GK","33",20,20,1800,20,24,1.2,75,52,68,3,10,7,6,30,0,0,0,0,NA,"https://fbref.com/en/players/c164335e/Sean-Johnson",20,24,0,0,3,1,20.2,0.27,-2.8,-0.14,64,222,28.8,489,91,30.9,32.3,164,43.3,38.1,301,15,5,10,0.5,11.6,NA,"https://www.transfermarkt.com/sean-johnson/profil/spieler/126630","MLS","Goalkeeper","United States","1.9","right","2024-12-31",1200000
NA,"St. Louis City","","Roman Bürki","SUI","GK","32",33,33,2970,33,42,1.27,163,123,78.5,17,5,11,8,24.2,7,7,0,0,0,"https://fbref.com/en/players/9d12e142/Roman-Burki",33,42,7,0,1,2,49.1,0.28,9.1,0.28,192,592,32.4,912,156,48.9,39.9,245,59.6,49,466,29,6.2,56,1.7,15.5,NA,"https://www.transfermarkt.com/roman-burki/profil/spieler/59027","MLS","Goalkeeper","Switzerland","1.87","right","2025-12-31",2500000
NA,"Seattle Sounders FC","","Stefan Frei","SUI","GK","36",32,32,2880,32,28,0.87,103,77,72.8,13,11,8,14,43.8,0,0,0,0,NA,"https://fbref.com/en/players/1d0a0f3e/Stefan-Frei",32,28,0,0,4,2,29.1,0.29,3.1,0.1,132,385,34.3,627,101,44.2,36.8,228,47.4,40.7,435,25,5.7,22,0.69,13.1,NA,"https://www.transfermarkt.com/stefan-frei/profil/spieler/99617","MLS","Goalkeeper","United States","1.95"," ","2025-12-31",3e+05
NA,"Los Angeles FC","","John McCarthy","USA","GK","30",25,25,2250,25,31,1.24,98,67,71.4,10,6,9,8,32,3,3,0,0,0,"https://fbref.com/en/players/249362e9/John-McCarthy",25,31,3,0,4,0,32.5,0.3,1.5,0.06,98,280,35,492,115,40,35,175,47.4,38.3,320,15,4.7,23,0.92,15.2,NA,"https://www.transfermarkt.com/john-mccarthy/profil/spieler/271718","MLS","Goalkeeper","United States","1.9"," ","2025-12-31",5e+05
NA,"Houston Dynamo","","Steve Clark","USA","GK","36",33,33,2970,33,38,1.15,121,84,73.6,14,8,11,12,36.4,6,6,0,0,0,"https://fbref.com/en/players/ed6320b7/Steve-Clark",33,38,6,0,3,1,37.8,0.29,0.8,0.03,112,294,38.1,878,181,23.6,28.4,222,39.2,35.5,495,24,4.8,27,0.82,13.1,NA,"https://www.transfermarkt.com/steve-clark/profil/spieler/141704","MLS","Goalkeeper","United States","1.9","right",NA,2e+05
NA,"Real Salt Lake","","Zac MacMath","USA","GK","31",28,28,2475,27.5,36,1.31,118,82,71.2,12,7,9,9,32.1,3,2,1,0,33.3,"https://fbref.com/en/players/06caac45/Zac-MacMath",27.5,36,2,2,4,1,34.9,0.27,-0.1,0,135,383,35.2,760,122,34.7,34.3,206,57.8,44.4,333,20,6,62,2.25,17.7,NA,"https://www.transfermarkt.com/zac-macmath/profil/spieler/156300","MLS","Goalkeeper","United States","1.85"," ","2024-12-31",4e+05
NA,"FC Dallas","","Maarten Paes","NED","GK","24",30,30,2621,29.1,29,1,119,93,76.5,11,10,9,7,23.3,3,1,1,1,50,"https://fbref.com/en/players/eb343262/Maarten-Paes",29.1,29,1,0,3,4,29.6,0.24,4.6,0.16,127,389,32.6,788,115,35,33.3,213,53.1,40.7,407,12,2.9,35,1.2,15.9,NA,"https://www.transfermarkt.com/maarten-paes/profil/spieler/396077","MLS","Goalkeeper","Netherlands","1.92","right","2025-12-31",1200000
NA,"Sporting KC","","Tim Melia","USA","GK","36",16,16,1418,15.8,24,1.52,68,42,69.1,8,1,7,3,18.8,5,3,2,0,40,"https://fbref.com/en/players/cc741f50/Tim-Melia",15.8,24,3,0,2,0,27.5,0.34,3.5,0.22,58,193,30.1,378,57,34.9,34.6,109,56,44.9,166,4,2.4,14,0.89,14,NA,"https://www.transfermarkt.com/tim-melia/profil/spieler/119722","MLS","Goalkeeper","United States","1.85"," ","2024-12-31",150000
NA,"San Jose Earthquakes","","Daniel","BRA","GK","28",22,22,1945,21.6,28,1.3,112,83,77.7,5,11,6,5,22.7,5,3,1,1,25,"https://fbref.com/en/players/636fc976/Daniel",21.6,28,3,1,4,0,35.3,0.29,7.3,0.34,72,182,39.6,339,85,33.9,33,188,35.6,31.9,323,12,3.7,15,0.69,13,NA,"https://www.transfermarkt.com/daniel/profil/spieler/530421","MLS","Goalkeeper","Brazil","1.88","right","2024-12-31",1500000
NA,"San Jose Earthquakes","","J.T. Marcinkowski","USA","GK","25",13,12,1112,12.4,15,1.21,53,38,75.5,5,3,4,4,33.3,2,2,0,0,0,"https://fbref.com/en/players/977791f4/JT-Marcinkowski",12.4,15,2,0,2,0,16.4,0.3,1.4,0.11,51,143,35.7,240,53,41.3,36.1,100,44,36.9,173,12,6.9,2,0.16,8.5,NA,"https://www.transfermarkt.com/jt-marcinkowski/profil/spieler/336163","MLS","Goalkeeper","United States","1.85","right","2024-12-31",8e+05
NA,"Portland Timbers","","David Bingham","USA","GK","33",19,19,1710,19,29,1.53,77,48,64.9,8,5,6,5,26.3,2,2,0,0,0,"https://fbref.com/en/players/7fd42a85/David-Bingham",19,29,2,0,5,0,25.6,0.32,-3.4,-0.18,125,324,38.6,524,56,49,40.3,125,53.6,44.3,262,15,5.7,32,1.69,15.1,NA,"https://www.transfermarkt.com/david-bingham/profil/spieler/176157","MLS","Goalkeeper","United States","1.88"," ","2025-12-31",150000
NA,"Portland Timbers","","Aljaž Ivačič","SVN","GK","29",15,15,1350,15,29,1.93,81,55,65.4,3,5,7,2,13.3,1,1,0,0,0,"https://fbref.com/en/players/4d6e50d8/Aljaz-Ivacic",15,29,1,1,2,3,22.6,0.27,-3.4,-0.23,92,306,30.1,326,38,63.8,45.4,139,70.5,52.6,253,4,1.6,15,1,14.5,NA,"https://www.transfermarkt.com/aljaz-ivacic/profil/spieler/231923","MLS","Goalkeeper","Slovenia","1.88","right","2025-12-31",6e+05
NA,"Minnesota United","","Dayne St. Clair","CAN","GK","25",30,30,2700,30,43,1.43,133,91,67.7,9,9,12,8,26.7,0,0,0,0,NA,"https://fbref.com/en/players/3f41d25f/Dayne-St-Clair",30,43,0,0,8,1,39.7,0.3,-2.3,-0.08,101,298,33.9,649,119,28.5,30.6,277,40.8,37,449,7,1.6,23,0.77,15.5,NA,"https://www.transfermarkt.com/dayne-st-clair/profil/spieler/439750","MLS","Goalkeeper","Canada","1.91","left","2024-12-31",2e+06
NA,"Austin FC","","Brad Stuver","USA","GK","31",34,34,3060,34,55,1.62,183,129,71.6,10,9,15,6,17.6,3,3,0,0,0,"https://fbref.com/en/players/6a1940d5/Brad-Stuver",34,55,3,0,9,1,55.9,0.3,1.9,0.06,138,440,31.4,1097,166,25.9,30,298,52.3,42.5,521,32,6.1,32,0.94,13.6,NA,"https://www.transfermarkt.com/brad-stuver/profil/spieler/300600","MLS","Goalkeeper","United States","1.91"," ","2025-12-31",8e+05
NA,"Colorado Rapids","","William Yarbrough","USA","GK","33",20,20,1800,20,25,1.25,90,65,73.3,3,9,8,7,35,2,1,0,1,0,"https://fbref.com/en/players/ec646e88/William-Yarbrough",20,25,1,1,3,0,25.6,0.28,0.6,0.03,70,225,31.1,472,96,33.3,32.2,181,37.6,34.9,261,12,4.6,35,1.75,17.1,NA,"https://www.transfermarkt.com/william-yarbrough/profil/spieler/215473","MLS","Goalkeeper","United States","1.88","right","2024-12-31",5e+05
